,Lfg_acc,Wft_acc,Lfgm3_tot,Lfga3_tot,Wfg3_acc,Lfgm_tot,Lfga_tot,Wfg_acc,Team_Name,Lftm_tot,Lft_acc,Wfgm3_tot,Wfga_tot,Wfta_tot,Wftm_tot,Wfgm_tot,Lfta_tot,Lfg3_acc,Wfga3_tot,GameCount
1101,36.99369936993699,78.68852459016394,135,392,46.89655172413793,411,1111,50.943396226415096,Abilene Chr,209,70.37037037037037,68,371,122,96,189,297,34.43877551020408,145,28
1102,44.33221099887766,70.4035874439462,106,337,40.8,395,891,49.91394148020654,Air Force,142,61.47186147186147,102,581,223,157,290,231,31.4540059347181,250,29
1103,38.480096501809406,65.44117647058823,127,370,35.34798534798535,319,829,43.054277828886846,Akron,129,67.1875,193,1087,408,267,468,192,34.32432432432432,546,34
1104,42.89732770745429,73.80352644836272,101,284,29.344729344729345,305,711,44.62809917355372,Alabama,203,70.0,103,847,397,293,378,290,35.563380281690144,351,31
1105,37.319189971070394,66.82692307692308,105,405,37.58389261744966,387,1037,43.93592677345538,Alabama A&M,258,63.7037037037037,56,437,208,139,192,405,25.925925925925927,149,28
1106,39.273927392739274,65.55555555555556,53,160,36.72727272727273,238,606,45.937813440320966,Alabama St,127,65.12820512820512,101,997,360,236,458,195,33.125,275,27
1107,38.94009216589862,78.29457364341086,48,150,37.531486146095716,169,434,45.858240819812124,Albany NY,83,66.93548387096774,149,1171,516,404,537,124,32.0,397,32
1108,36.791147994467494,68.18181818181819,120,431,31.325301204819276,532,1446,49.44649446494465,Alcorn St,333,65.0390625,26,271,132,90,134,512,27.842227378190255,83,30
1109,0.0,0.0,0,0,0.0,0,0,0.0,Alliant Intl,0,0.0,0,0,0,0,0,0,0.0,0,0
1110,42.011019283746556,69.5364238410596,90,281,42.41379310344828,305,726,50.199203187250994,American Univ,149,71.98067632850241,123,753,302,210,378,207,32.02846975088968,290,33
1111,37.63213530655391,69.26229508196721,88,332,38.28125,356,946,42.83536585365854,Appalachian St,212,72.10884353741497,98,656,244,169,281,294,26.50602409638554,256,29
1112,42.35294117647059,70.59553349875931,15,48,36.51162790697674,72,170,49.61424332344214,Arizona,42,61.76470588235294,157,1685,806,569,836,68,31.25,430,34
1113,41.475211608222494,69.11111111111111,105,326,37.666666666666664,343,827,47.25400457665904,Arizona St,181,63.28671328671329,113,874,450,311,413,286,32.20858895705521,300,32
1114,38.077285579641845,72.43816254416961,128,399,37.55868544600939,404,1061,47.166921898928024,Ark Little Rock,232,69.66966966966967,80,653,283,205,308,333,32.08020050125313,213,30
1115,37.24340175953079,71.92307692307692,112,376,38.723404255319146,381,1023,44.71544715447155,Ark Pine Bluff,210,64.81481481481481,91,615,260,187,275,324,29.78723404255319,235,32
1116,42.950108459869845,72.74193548387096,50,160,36.27049180327869,198,461,45.252774352651045,Arkansas,111,71.15384615384616,177,1622,620,451,734,156,31.25,488,34
1117,39.07351460221551,69.04761904761905,93,309,35.39325842696629,388,993,42.45614035087719,Arkansas St,213,69.8360655737705,63,570,210,145,242,305,30.097087378640776,178,28
1118,0.0,0.0,0,0,0.0,0,0,0.0,Armstrong St,0,0.0,0,0,0,0,0,0,0.0,0,0
1119,41.73318129988598,66.99346405228758,111,350,32.79742765273312,366,877,45.86374695863747,Army,167,70.16806722689076,102,822,306,205,377,238,31.714285714285715,311,29
1120,37.099811676082865,67.5,142,443,40.0763358778626,394,1062,44.48871181938911,Auburn,294,65.91928251121077,105,753,440,297,335,446,32.05417607223476,262,34
1121,0.0,0.0,0,0,0.0,0,0,0.0,Augusta,0,0.0,0,0,0,0,0,0,0.0,0,0
1122,38.79736408566722,63.1578947368421,106,367,34.343434343434346,471,1214,43.90243902439025,Austin Peay,339,66.73228346456693,34,328,133,84,144,508,28.88283378746594,99,28
1123,41.05960264900662,70.13888888888889,173,528,36.76470588235294,496,1208,43.40836012861736,Ball St,274,69.54314720812182,50,311,144,101,135,394,32.765151515151516,136,29
1124,36.2,66.41221374045801,56,179,41.27764127764128,181,500,46.24505928853755,Baylor,108,67.5,168,1265,524,348,585,160,31.28491620111732,407,32
1125,44.20289855072464,69.21182266009852,80,260,41.24087591240876,244,552,48.98499558693734,Belmont,102,68.45637583892618,226,1133,406,281,555,149,30.76923076923077,548,31
1126,37.634408602150536,79.71014492753623,97,344,31.21019108280255,385,1023,42.72727272727273,Bethune-Cookman,254,66.31853785900783,49,440,207,165,188,383,28.197674418604652,157,30
1127,38.09910641754671,61.971830985915496,129,435,36.92307692307692,469,1231,46.0,Binghamton,302,67.41071428571429,24,250,142,88,115,448,29.655172413793103,65,30
1128,0.0,0.0,0,0,0.0,0,0,0.0,Birmingham So,0,0.0,0,0,0,0,0,0,0.0,0,0
1129,39.42992874109264,73.17073170731707,65,181,40.27504911591355,166,421,47.364152473641525,Boise St,66,70.96774193548387,205,1233,451,330,584,93,35.91160220994475,509,31
1130,41.805691854759566,67.73049645390071,121,393,35.10204081632653,426,1019,48.91975308641975,Boston College,221,73.17880794701986,86,648,282,191,317,302,30.78880407124682,245,32
1131,42.7437641723356,71.85185185185185,126,366,40.57377049180328,377,882,48.29443447037702,Boston Univ,257,68.16976127320955,99,557,270,194,269,377,34.42622950819672,244,29
1132,40.248226950354606,73.77049180327869,58,198,36.523929471032744,227,564,45.30075187969925,Bowling Green,111,66.86746987951807,145,1064,366,270,482,166,29.292929292929294,397,30
1133,35.4559748427673,69.08212560386474,134,457,32.8,451,1272,42.00542005420054,Bradley,272,65.70048309178743,41,369,207,143,155,414,29.321663019693656,125,32
1134,0.0,0.0,0,0,0.0,0,0,0.0,Brooklyn,0,0.0,0,0,0,0,0,0,0.0,0,0
1135,39.664218258132216,75.86206896551724,85,315,37.967914438502675,378,953,45.5535390199637,Brown,273,65.78313253012048,71,551,261,198,251,415,26.984126984126984,187,29
1136,38.59020310633214,77.3529411764706,121,341,33.65384615384615,323,837,45.62647754137116,Bryant,151,71.22641509433963,105,846,340,263,386,212,35.483870967741936,312,31
1137,42.480211081794195,71.46067415730337,88,254,41.41414141414141,322,758,45.07494646680942,Bucknell,169,68.42105263157895,123,934,445,318,421,247,34.645669291338585,297,32
1138,40.83969465648855,71.24394184168013,47,162,36.04938271604938,214,524,44.53471196454948,Buffalo,132,75.42857142857143,146,1354,619,441,603,175,29.012345679012345,405,32
1139,35.90192644483363,69.02985074626865,58,188,38.65030674846626,205,571,47.666666666666664,Butler,118,64.83516483516483,126,1200,536,370,572,182,30.851063829787233,326,32
1140,41.312056737588655,76.83523654159869,63,194,40.816326530612244,233,564,48.03921568627451,BYU,145,77.54010695187166,200,1326,613,471,637,187,32.47422680412371,490,32
1141,40.77448747152619,73.21428571428571,53,201,41.24087591240876,179,439,47.66697163769442,C Michigan,131,71.5846994535519,226,1093,392,287,521,183,26.3681592039801,548,28
1142,35.07377979568672,68.30357142857143,81,280,34.905660377358494,309,881,44.31438127090301,Cal Poly SLO,159,65.97510373443983,74,598,224,153,265,241,28.928571428571427,212,27
1143,38.83040935672515,67.816091954023,69,220,39.32203389830509,332,855,48.27245804540967,California,132,60.273972602739725,116,1013,348,236,489,219,31.363636363636363,295,33
1144,40.442477876106196,68.08510638297872,177,509,40.42553191489362,457,1130,46.49122807017544,Campbell,233,60.20671834625323,57,342,141,96,159,387,34.77406679764243,141,29
1145,36.318407960199,73.20261437908496,98,324,32.98245614035088,292,804,43.65079365079365,Canisius,156,68.12227074235808,94,882,306,224,385,229,30.246913580246915,285,30
1146,41.97617379117029,66.66666666666667,184,527,41.37931034482759,599,1427,48.45360824742268,Cent Arkansas,368,67.89667896678966,12,97,57,38,47,542,34.9146110056926,29,29
1147,0.0,0.0,0,0,0.0,0,0,0.0,Centenary,0,0.0,0,0,0,0,0,0,0.0,0,0
1148,39.430604982206404,61.904761904761905,122,377,31.16883116883117,554,1405,44.44444444444444,Central Conn,301,72.35576923076923,24,270,63,39,120,416,32.36074270557029,77,31
1149,37.142857142857146,69.94219653179191,77,287,38.0,234,630,43.30218068535826,Charleston So,151,71.56398104265404,171,963,346,242,417,211,26.829268292682926,450,27
1150,45.303326810176124,63.02521008403362,105,291,39.50617283950617,463,1022,47.47596153846154,Charlotte,220,67.07317073170732,96,832,357,225,395,328,36.08247422680412,243,32
1151,39.92805755395683,70.32136105860114,58,189,36.36363636363637,222,556,46.72364672364672,Chattanooga,113,64.20454545454545,140,1053,529,372,492,176,30.687830687830687,385,30
1152,35.27131782945737,80.0,142,504,43.037974683544306,455,1290,43.346007604562736,Chicago St,208,64.797507788162,34,263,100,80,114,321,28.174603174603174,79,29
1153,39.13894324853229,68.85964912280701,38,156,37.61467889908257,200,511,48.22429906542056,Cincinnati,89,62.67605633802817,123,1070,456,314,516,142,24.358974358974358,327,32
1154,42.42761692650334,82.1917808219178,120,328,49.60629921259842,381,898,49.32975871313673,Citadel,250,74.1839762611276,63,373,146,120,184,337,36.58536585365854,127,27
1155,37.604790419161674,68.32844574780059,74,273,32.441471571906355,314,835,44.11764705882353,Clemson,162,68.0672268907563,97,850,341,233,375,238,27.106227106227106,299,31
1156,39.08496732026144,69.48051948051948,100,292,40.22140221402214,299,765,49.21212121212121,Cleveland St,129,67.53926701570681,109,825,308,214,406,191,34.24657534246575,271,30
1157,41.52046783625731,70.93821510297482,49,162,37.56476683937824,213,513,44.90358126721763,Coastal Car,136,69.03553299492386,145,1089,437,310,489,197,30.246913580246915,386,29
1158,38.279400157853196,68.36158192090396,138,421,38.311688311688314,485,1267,45.57823129251701,Col Charleston,244,64.8936170212766,59,441,177,121,201,376,32.779097387173394,154,33
1159,45.16496018202503,71.11111111111111,118,338,45.12635379061372,397,879,52.16178521617852,Colgate,144,67.9245283018868,125,717,225,160,374,212,34.9112426035503,277,32
