,Season,Team,AvgPointSpread,Wins,Losses,FieldGoalAvg,ThreePointAvg,FreeThrowAvg,ReboundAvg,AssistAvg,TurnOverAvg,StealAvg,BlockAvg,PersonalFoulAvg
1328,2003.0,1328.0,0.0,24.0,6.0,0.44693396226415094,0.3936731107205624,0.7078853046594982,37.1,14.166666666666666,11.8,6.933333333333334,3.7666666666666666,18.6
1448,2003.0,1448.0,0.0,24.0,5.0,0.4566265060240964,0.3443579766536965,0.7525906735751295,41.689655172413794,14.586206896551724,15.10344827586207,6.413793103448276,4.379310344827586,18.482758620689655
1393,2003.0,1393.0,0.0,24.0,5.0,0.4700665188470067,0.33043478260869563,0.6934306569343066,41.206896551724135,14.96551724137931,13.620689655172415,8.310344827586206,7.275862068965517,16.586206896551722
1257,2003.0,1257.0,0.0,24.0,6.0,0.45972602739726026,0.3603988603988604,0.6958831341301461,38.3,16.6,13.366666666666667,7.2,4.733333333333333,22.666666666666668
1280,2003.0,1280.0,0.0,21.0,9.0,0.47192353643966545,0.3436213991769547,0.6767485822306238,37.266666666666666,14.5,15.633333333333333,8.733333333333333,3.7333333333333334,15.9
1329,2003.0,1329.0,0.0,20.0,9.0,0.44492843808338517,0.375,0.6512345679012346,36.44827586206897,12.241379310344827,14.655172413793103,8.793103448275861,5.586206896551724,20.137931034482758
1386,2003.0,1386.0,0.0,23.0,6.0,0.44550063371356147,0.3675078864353312,0.6828046744574291,35.310344827586206,14.0,12.931034482758621,7.206896551724138,5.551724137931035,18.75862068965517
1143,2003.0,1143.0,0.0,21.0,8.0,0.46564885496183206,0.3765182186234818,0.6855123674911661,35.62068965517241,16.0,14.172413793103448,6.551724137931035,2.793103448275862,17.103448275862068
1301,2003.0,1301.0,0.0,18.0,12.0,0.45625,0.3540740740740741,0.7703583061889251,31.766666666666666,14.666666666666666,14.2,7.766666666666667,3.066666666666667,18.666666666666668
1120,2003.0,1120.0,0.0,19.0,11.0,0.46983546617915906,0.3448979591836735,0.6621621621621622,34.5,13.4,15.9,8.033333333333333,4.966666666666667,16.366666666666667
