,WblkAvg,LblkAvg,WorAvg,LfgaAvg,WtoAvg,LpfAvg,LtoAvg,LscoreAvg,LfgmAvg,WftmAvg,LstlAvg,WfgmAvg,Wfga3Avg,WftaAvg,WpfAvg,Lfgm3Avg,LftaAvg,WfgaAvg,LdrAvg,WstlAvg,WscoreAvg,WdrAvg,LorAvg,LftmAvg,Lfga3Avg,Team_Name,GameCount,Wfgm3Avg,WastAvg,LastAvg
1101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abilene Chr,0,0.0,0.0,0.0
1102,1.6785714285714286,0.8571428571428571,2.9285714285714284,23.821428571428573,5.535714285714286,10.0,6.392857142857143,28.75,10.321428571428571,7.535714285714286,2.607142857142857,12.107142857142858,9.107142857142858,10.607142857142858,7.428571428571429,2.9285714285714284,7.535714285714286,24.035714285714285,10.142857142857142,3.607142857142857,35.5,12.285714285714286,2.9285714285714284,5.178571428571429,8.642857142857142,Air Force,28,3.75,8.892857142857142,6.535714285714286
1103,2.4411764705882355,0.9705882352941176,6.235294117647059,20.823529411764707,7.676470588235294,6.911764705882353,4.352941176470588,22.176470588235293,8.088235294117647,9.705882352941176,1.7647058823529411,16.5,13.117647058823529,13.529411764705882,12.323529411764707,2.7941176470588234,4.705882352941177,36.38235294117647,7.4411764705882355,4.676470588235294,47.794117647058826,16.764705882352942,3.823529411764706,3.2058823529411766,8.764705882352942,Akron,34,5.088235294117647,10.117647058823529,4.235294117647059
1104,3.96875,1.25,8.53125,18.4375,8.96875,7.25,5.21875,20.78125,7.84375,8.75,2.5625,17.03125,9.59375,12.46875,11.15625,1.03125,5.25,37.46875,7.25,6.6875,45.875,16.8125,4.0625,4.0625,4.125,Alabama,32,3.0625,8.625,3.78125
1105,2.64,2.64,4.76,33.48,6.56,12.68,9.32,35.52,12.72,6.6,5.28,9.44,6.36,10.2,7.32,2.48,12.56,22.32,12.88,3.28,27.28,11.8,7.12,7.6,8.64,Alabama A&M,25,1.8,5.32,6.28
1106,2.5625,2.0,6.46875,28.34375,7.1875,11.40625,8.53125,29.0625,10.25,9.0,3.625,10.65625,6.28125,13.6875,10.90625,2.625,10.84375,24.21875,10.40625,3.6875,32.5,11.875,6.84375,5.9375,10.1875,Alabama St,32,2.1875,6.34375,5.28125
1107,1.5,1.3125,6.15625,26.8125,6.5,8.40625,6.34375,28.875,10.53125,5.78125,2.125,12.09375,10.15625,8.46875,7.375,3.375,7.375,26.53125,11.15625,2.5625,34.03125,13.1875,5.59375,4.4375,9.5625,Albany NY,32,4.0625,6.5,5.09375
1108,0.35714285714285715,3.3214285714285716,1.4642857142857142,50.75,1.8928571428571428,18.892857142857142,15.0,54.607142857142854,18.142857142857142,2.6785714285714284,6.857142857142857,3.7857142857142856,1.8214285714285714,4.321428571428571,2.892857142857143,3.357142857142857,23.571428571428573,8.678571428571429,21.071428571428573,0.9285714285714286,11.035714285714286,3.8214285714285716,9.071428571428571,14.964285714285714,11.0,Alcorn St,28,0.7857142857142857,1.5714285714285714,7.535714285714286
1109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alliant Intl,0,0.0,0.0,0.0
1110,2.096774193548387,0.6774193548387096,6.741935483870968,15.0,7.387096774193548,5.354838709677419,3.774193548387097,16.516129032258064,6.129032258064516,11.064516129032258,1.096774193548387,16.967741935483872,13.03225806451613,15.580645161290322,12.64516129032258,1.4193548387096775,3.774193548387097,36.67741935483871,6.129032258064516,3.0,49.645161290322584,18.258064516129032,2.5483870967741935,2.838709677419355,4.935483870967742,American Univ,31,4.645161290322581,10.32258064516129,3.5483870967741935
