,GameCount,LscoreAvg,WscoreAvg,Team_Name
1101,0,0.0,0.0,Abilene Chr
1102,28,28.75,35.5,Air Force
1103,34,22.176470588235293,47.794117647058826,Akron
1104,32,20.78125,45.875,Alabama
1105,25,35.52,27.28,Alabama A&M
1106,32,29.0625,32.5,Alabama St
1107,32,28.875,34.03125,Albany NY
1108,28,54.607142857142854,11.035714285714286,Alcorn St
1109,0,0.0,0.0,Alliant Intl
1110,31,16.516129032258064,49.645161290322584,American Univ
1111,29,34.827586206896555,36.6551724137931,Appalachian St
1112,34,13.764705882352942,62.76470588235294,Arizona
1113,31,37.16129032258065,26.806451612903224,Arizona St
1114,33,30.939393939393938,35.333333333333336,Ark Little Rock
1115,31,43.45161290322581,16.225806451612904,Ark Pine Bluff
1116,31,25.612903225806452,45.064516129032256,Arkansas
1117,30,30.8,35.3,Arkansas St
1118,0,0.0,0.0,Armstrong St
1119,29,42.44827586206897,25.551724137931036,Army
1120,30,38.233333333333334,23.6,Auburn
1121,0,0.0,0.0,Augusta
1122,31,28.29032258064516,43.225806451612904,Austin Peay
1123,30,24.633333333333333,42.86666666666667,Ball St
1124,30,27.133333333333333,42.53333333333333,Baylor
1125,34,8.264705882352942,72.08823529411765,Belmont
1126,29,23.448275862068964,41.10344827586207,Bethune-Cookman
1127,31,41.483870967741936,18.548387096774192,Binghamton
1128,0,0.0,0.0,Birmingham So
1129,31,26.677419354838708,47.096774193548384,Boise St
1130,32,23.3125,48.28125,Boston College
1131,34,23.38235294117647,41.8235294117647,Boston Univ
1132,32,35.0,28.59375,Bowling Green
1133,31,40.12903225806452,24.70967741935484,Bradley
1134,0,0.0,0.0,Brooklyn
1135,27,41.74074074074074,29.14814814814815,Brown
1136,29,46.793103448275865,19.75862068965517,Bryant
1137,33,16.151515151515152,54.60606060606061,Bucknell
1138,30,28.666666666666668,42.43333333333333,Buffalo
1139,31,19.193548387096776,53.29032258064516,Butler
1140,33,8.303030303030303,72.96969696969697,BYU
1141,30,38.56666666666667,20.7,C Michigan
