Season,Team,AvgPointSpread,Wins,Losses,FieldGoalAvg,ThreePointAvg,FreeThrowAvg,ReboundAvg,AssistAvg,TurnOverAvg,StealAvg,BlockAvg,PersonalFoulAvg
2016,1314,12.70588235,28,6,0.4787379973,0.3138936535,0.7375886525,40.97058824,18.11764706,10.91176471,6.882352941,4.382352941,17.91176471
2016,1462,10.3125,27,5,0.4520123839,0.3616071429,0.7307692308,41,16.375,12.75,7.3125,3.0625,20.1875
2016,1452,12.58823529,26,8,0.452195122,0.3285486443,0.6698412698,39.17647059,14.76470588,14,9.941176471,2.529411765,23.38235294
2016,1246,11.41176471,26,8,0.4785608674,0.3704866562,0.6833976834,38.58823529,14.41176471,11,5.617647059,5.647058824,20.47058824
2016,1231,13.375,25,7,0.5010729614,0.4146981627,0.7230273752,37.375,15.96875,13.65625,6.9375,3.96875,18.1875
2016,1323,5.125,21,11,0.4712581345,0.3689167975,0.7352941176,36.0625,13.46875,9.71875,5.59375,3.90625,15.5
2016,1458,4.3125,20,12,0.4296338673,0.3576271186,0.7074927954,34.90625,11.59375,10.96875,5.875,3.1875,16.9375
2016,1425,6.090909091,21,12,0.4575539568,0.3851851852,0.6784260516,39.45454545,14.87878788,12.21212121,6.333333333,5.454545455,17.45454545
2016,1344,4.242424242,23,10,0.4219858156,0.3209876543,0.7271505376,36.57575758,15.90909091,11.51515152,6.636363636,3.606060606,16.90909091
2016,1338,7.064516129,20,11,0.4591893393,0.3513513514,0.7575757576,37.61290323,16.77419355,11.67741935,5.032258065,3.451612903,17.48387097
2016,1276,6.242424242,21,12,0.4647812166,0.3841536615,0.7392120075,32.03030303,14.96969697,9.727272727,5.424242424,2.090909091,15.66666667
2016,1409,4.322580645,20,11,0.4439486893,0.3292682927,0.6778242678,35.03225806,13.70967742,10.80645161,6.806451613,2.677419355,17.70967742
2016,1151,7.6875,27,5,0.450617284,0.3610271903,0.7326203209,35.4375,13.96875,12.1875,7.34375,4.75,17.4375
2016,1392,10.26666667,24,6,0.4768099548,0.3752417795,0.668989547,38.33333333,16.3,11.66666667,5.9,4.6,16.23333333
2016,1372,15.28571429,23,5,0.4865525672,0.374789916,0.7436823105,33.78571429,18.35714286,12.57142857,8.357142857,3.285714286,20.92857143
2016,1451,6.064516129,23,8,0.4730722154,0.3604651163,0.6771653543,36.83870968,13,13.74193548,4.677419355,3.322580645,18.09677419
2016,1192,-1.677419355,17,14,0.4563829787,0.3646677472,0.6988906498,33.12903226,14.09677419,13,7.35483871,2.516129032,21.58064516
2016,1195,2.724137931,16,13,0.4695752009,0.3458823529,0.6451104101,39.4137931,12.89655172,12,6.137931034,4.034482759,19.62068966
